,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,bambous virieux,-20.34,57.76,297.15,88,75,6.2,MU,1607896239
89,usak,38.5,29.42,282.34,80,100,4.84,TR,1607896172
90,maniitsoq,65.42,-52.9,264.98,90,100,2.71,GL,1607896466
91,banjarmasin,-3.32,114.59,296.15,100,90,2.1,ID,1607896467
92,canyon lake,29.88,-98.26,292.04,34,26,7.15,US,1607896467
93,balao,-2.92,-79.82,303.15,62,75,2.1,EC,1607896467
94,mar del plata,-38.0,-57.56,292.15,39,0,3.1,AR,1607896185
95,saskylakh,71.92,114.08,242.66,83,100,7.93,RU,1607895996
96,bengkulu,-3.8,102.27,296.8,85,100,0.96,ID,1607896172
97,roald,62.58,6.13,277.15,69,0,4.1,NO,1607896468
98,arman,59.7,150.17,250.54,84,55,7.73,RU,1607896468
99,mawlaik,23.63,94.42,290.21,90,73,0.75,MM,1607896468
100,qui nhon,13.77,109.23,296.72,90,82,2.18,VN,1607896468
101,sukumo,32.93,132.73,280.19,74,73,7.68,JP,1607896469
102,okha,53.57,142.95,261.29,96,90,5.76,RU,1607896469
103,camacha,33.08,-16.33,289.15,93,40,3.1,PT,1607896469
104,englewood,39.65,-104.99,276.48,45,14,0.45,US,1607896354
105,bathsheba,13.22,-59.52,300.15,78,20,3.6,BB,1607896281
106,hambantota,6.12,81.12,296.15,100,0,1.5,LK,1607896054
107,high prairie,55.43,-116.49,255.15,70,19,3.1,CA,1607896425
108,kanniyakumari,8.08,77.57,298.14,79,44,7.85,IN,1607896247
109,constitucion,-35.33,-72.42,292.12,44,2,9.08,CL,1607896283
110,busselton,-33.65,115.33,282.59,97,21,3.08,AU,1607896225
111,nishihara,26.18,127.76,293.15,72,75,4.1,JP,1607896470
112,cidreira,-30.18,-50.21,294.84,93,80,0.81,BR,1607896217
113,bandarbeyla,9.49,50.81,296.16,68,0,7.39,SO,1607896259
114,changtu,42.78,124.1,256.55,79,0,4.19,CN,1607896471
115,ponta delgada,37.73,-25.67,287.15,76,75,4.6,PT,1607896192
116,yellowknife,62.46,-114.35,242.04,74,5,1.5,CA,1607895962
117,cayenne,4.93,-52.33,301.15,74,0,3.1,GF,1607896268
118,tautira,-17.73,-149.15,303.15,62,40,6.7,PF,1607896472
119,east london,-33.02,27.91,294.55,82,55,5.55,ZA,1607896194
120,ahipara,-35.17,173.17,292.96,56,54,1.79,NZ,1607895978
121,saldanha,-33.01,17.94,287.15,76,73,1.5,ZA,1607896216
122,tasiilaq,65.61,-37.64,276.15,64,100,7.09,GL,1607896195
123,kodiak,57.79,-152.41,279.15,93,90,7.7,US,1607896243
124,hithadhoo,-0.6,73.08,301.11,77,59,7.2,MV,1607896273
125,morganton,35.75,-81.68,292.15,55,1,2.1,US,1607896472
126,te anau,-45.42,167.72,287.91,56,19,0.41,NZ,1607896267
127,meridian,43.61,-116.39,274.82,94,1,5.7,US,1607896473
128,ribeira grande,38.52,-28.7,288.15,58,40,9.3,PT,1607896225
129,port hedland,-20.32,118.57,297.15,83,27,3.79,AU,1607896473
130,nemuro,43.32,145.57,270.49,86,100,3.52,JP,1607896473
131,fort portal,0.66,30.27,290.11,58,61,1.44,UG,1607896473
132,ponta do sol,32.67,-17.1,289.15,87,20,1.5,PT,1607896013
133,katsuura,35.13,140.3,286.48,50,75,7.2,JP,1607896296
134,dong hoi,17.48,106.6,297.0,92,100,1.22,VN,1607896474
135,lagoa,39.05,-27.98,287.4,64,32,11.6,PT,1607896023
136,vostok,46.49,135.88,247.48,91,95,1.94,RU,1607896274
137,dikson,73.51,80.55,253.22,92,100,5.36,RU,1607895991
138,ancud,-41.87,-73.82,285.37,76,90,6.7,CL,1607896203
139,taltal,-25.4,-70.48,293.13,52,22,2.34,CL,1607896474
140,am timan,11.03,20.28,298.71,18,100,2.35,TD,1607896455
141,casas grandes,30.37,-107.95,283.71,22,0,2.31,MX,1607896475
142,coihaique,-45.58,-72.07,285.15,58,90,6.2,CL,1607896236
143,san patricio,28.02,-97.52,301.15,58,75,10.8,US,1607896283
144,mehamn,71.04,27.85,272.15,80,75,2.1,NO,1607896234
145,cacule,-14.5,-42.22,293.95,62,17,1.71,BR,1607896337
146,sitka,57.05,-135.33,280.15,39,75,7.7,US,1607896237
147,verkhnyaya inta,65.98,60.31,268.3,98,100,9.0,RU,1607896475
148,tiksi,71.69,128.87,239.27,83,26,1.67,RU,1607896228
149,svetlaya,46.54,138.33,257.2,81,36,4.05,RU,1607896476
150,derzhavinsk,51.1,66.32,258.93,94,90,3.55,KZ,1607896476
151,cape town,-33.93,18.42,290.93,67,0,1.5,ZA,1607896193
152,osorno,-40.57,-73.15,289.15,51,40,6.7,CL,1607896476
153,souillac,-20.52,57.52,297.15,88,75,6.2,MU,1607896196
154,tevaitoa,-16.78,-151.5,300.21,72,1,5.28,PF,1607896476
155,mporokoso,-9.37,30.12,288.49,97,99,0.86,ZM,1607896477
156,tongliao,43.61,122.27,251.95,85,0,5.17,CN,1607896477
157,tank,32.22,70.38,285.02,43,0,2.61,PK,1607896477
158,maceio,-9.67,-35.74,299.15,78,75,3.6,BR,1607896477
159,sao joao da barra,-21.64,-41.05,300.15,74,0,10.3,BR,1607896261
160,varhaug,58.61,5.65,280.15,65,75,8.7,NO,1607896477
161,ilulissat,69.22,-51.1,269.15,73,100,3.1,GL,1607896254
162,uchaly,54.3,59.45,261.85,91,0,2.21,RU,1607896478
163,bethel,41.37,-73.41,285.37,54,1,4.6,US,1607896244
164,comodoro rivadavia,-45.87,-67.5,292.15,32,100,13.4,AR,1607896015
165,saint anthony,45.02,-93.22,269.82,79,90,3.1,US,1607896478
166,lalmohan,22.34,90.74,294.27,66,71,3.08,BD,1607896478
167,kuytun,54.34,101.5,256.11,92,100,2.65,RU,1607896478
168,chapais,49.78,-74.85,265.15,92,90,3.6,CA,1607896479
169,guerrero negro,27.98,-114.06,295.68,20,0,7.77,MX,1607896479
170,carnarvon,-24.87,113.63,292.15,77,1,7.7,AU,1607896236
171,berezovyy,51.67,135.7,255.06,88,100,1.61,RU,1607896479
172,salalah,17.02,54.09,295.15,33,0,4.6,OM,1607896018
173,fort nelson,58.81,-122.7,246.15,75,75,1.2,CA,1607896480
174,husavik,66.04,-17.34,277.15,82,90,3.1,IS,1607895973
175,rio gallegos,-51.62,-69.22,286.15,37,40,3.1,AR,1607896285
176,belmonte,-15.86,-38.88,298.15,73,0,3.6,BR,1607896480
177,xuddur,4.12,43.89,295.46,31,0,5.06,SO,1607896480
178,malibu,34.01,-118.81,289.82,65,85,1.79,US,1607896373
179,baker city,44.77,-117.83,272.15,68,90,6.2,US,1607896480
180,methoni,36.82,21.7,285.93,85,100,3.1,GR,1607896219
181,carutapera,-1.2,-46.02,299.19,81,76,2.37,BR,1607896481
182,san andres,12.58,-81.7,303.15,70,20,5.1,CO,1607896475
183,lebedinyy,58.52,125.52,232.92,82,36,0.23,RU,1607896481
184,torbay,47.67,-52.73,272.04,92,90,7.7,CA,1607896263
185,hasaki,35.73,140.83,278.15,80,75,3.6,JP,1607896203
186,narsaq,60.92,-46.05,270.15,86,75,1.0,GL,1607896481
187,susanville,40.42,-120.65,277.04,93,90,1.5,US,1607896482
188,esperance,-33.87,121.9,287.15,87,75,4.6,AU,1607896209
189,dingle,11.0,122.67,297.25,91,73,2.82,PH,1607896282
190,kaduy,59.2,37.15,267.15,92,90,2.0,RU,1607896482
191,zhezkazgan,47.8,67.71,259.49,80,39,0.66,KZ,1607896482
192,norman wells,65.28,-126.83,234.15,72,20,2.1,CA,1607896224
193,payo,-3.75,103.64,295.05,89,100,0.46,ID,1607896224
194,aklavik,68.22,-135.01,237.15,66,2,2.1,CA,1607896223
195,hamilton,39.18,-84.53,279.26,75,90,1.5,US,1607896256
196,shwebo,22.57,95.7,291.95,87,96,1.75,MM,1607896483
197,anadyr,64.75,177.48,267.15,85,75,7.0,RU,1607896002
198,arraial do cabo,-22.97,-42.03,299.15,78,75,4.6,BR,1607895976
199,kahului,20.89,-156.47,301.15,58,40,2.6,US,1607896189
200,kaitangata,-46.28,169.85,287.59,63,97,3.58,NZ,1607896266
201,colac,-38.33,143.58,296.48,50,0,0.45,AU,1607896483
202,cabedelo,-6.98,-34.83,298.15,94,75,3.1,BR,1607896240
203,valparaiso,-33.04,-71.63,305.15,26,0,9.3,CL,1607896461
